instNum,optimal,LB,makespan,firstSol,UB,timeToFirstSol,runtime,nodes,propagations
0,1,58,129,171,260,60,337.95,2587124,347406776
1,0,40,88,121,193,62,600,4857164,1051276199
2,1,41,103,139,209,54,54.88,478767,81357683
3,1,44,95,135,217,64,186.59,1367085,329872099
4,0,44,103,116,217,57,600,4578658,964967997
5,1,48,107,154,249,64,374.09,2644819,617880184
6,0,48,91,120,200,61,600,4196675,1008578587
7,1,44,111,152,226,57,16.75,221459,29651167
8,0,48,122,156,249,59,600,5115007,939165939
9,1,41,90,112,209,71,215.92,1521704,346873052
10,1,40,100,124,193,60,0.52,20381,2700788
11,0,48,91,121,200,56,600,4770197,1078882345
12,0,44,102,135,226,65,600,3869649,927221254
13,1,58,116,164,260,62,91.88,693613,133836765
